date_ex,dividend
16/08/2021,1.609911
14/04/2021,0.787446
14/04/2021,0.005388
22/07/2020,0.233649
22/07/2020,0.006246
11/11/2019,0.2
12/08/2019,0.2
21/05/2019,0.1
21/12/2018,0.05
21/11/2018,0.1
13/08/2018,0.05
21/05/2018,0.05
